face_images,answer
left_face_0 right_face_0,0.5287362337112427
left_face_1 right_face_1,0.8258894085884094
left_face_2 right_face_2,0.7471908926963806
left_face_3 right_face_3,0.3295667767524719
left_face_4 right_face_4,0.7041957974433899
left_face_5 right_face_5,0.5815735459327698
left_face_6 right_face_6,0.5405958294868469
left_face_7 right_face_7,0.42583826184272766
left_face_8 right_face_8,0.06408869475126266
left_face_9 right_face_9,0.7128657698631287
left_face_10 right_face_10,0.5383299589157104
left_face_11 right_face_11,0.4828298091888428
left_face_12 right_face_12,0.6807637810707092
left_face_13 right_face_13,0.5700890421867371
left_face_14 right_face_14,0.5671712160110474
left_face_15 right_face_15,0.39121443033218384
left_face_16 right_face_16,0.7148362398147583
left_face_17 right_face_17,0.5401033759117126
left_face_18 right_face_18,0.4594472348690033
left_face_19 right_face_19,0.3667459487915039
left_face_20 right_face_20,0.5003995895385742
left_face_21 right_face_21,0.5028271675109863
left_face_22 right_face_22,0.6119054555892944
left_face_23 right_face_23,0.3489370048046112
left_face_24 right_face_24,0.33774256706237793
left_face_25 right_face_25,0.5170630812644958
left_face_26 right_face_26,0.5026960968971252
left_face_27 right_face_27,0.516899049282074
left_face_28 right_face_28,0.5323259234428406
left_face_29 right_face_29,0.4777914583683014
left_face_30 right_face_30,0.34854623675346375
left_face_31 right_face_31,0.5220288038253784
left_face_32 right_face_32,0.41688886284828186
left_face_33 right_face_33,0.5443130731582642
left_face_34 right_face_34,0.4862973988056183
left_face_35 right_face_35,0.5786833763122559
left_face_36 right_face_36,0.573363184928894
left_face_37 right_face_37,0.48497313261032104
left_face_38 right_face_38,0.531514048576355
left_face_39 right_face_39,-0.03616214916110039
left_face_40 right_face_40,0.5990003347396851
left_face_41 right_face_41,0.3067231774330139
left_face_42 right_face_42,0.6390116214752197
left_face_43 right_face_43,0.597209632396698
left_face_44 right_face_44,0.2878762483596802
left_face_45 right_face_45,0.6483301520347595
left_face_46 right_face_46,0.31271231174468994
left_face_47 right_face_47,0.3917240500450134
left_face_48 right_face_48,0.6353504061698914
left_face_49 right_face_49,0.5001638531684875
left_face_50 right_face_50,0.10751550644636154
left_face_51 right_face_51,0.5010799169540405
left_face_52 right_face_52,0.42146244645118713
left_face_53 right_face_53,0.3708815276622772
left_face_54 right_face_54,0.6091147065162659
left_face_55 right_face_55,0.4345579743385315
left_face_56 right_face_56,0.5602129101753235
left_face_57 right_face_57,0.7065351009368896
left_face_58 right_face_58,0.527214527130127
left_face_59 right_face_59,0.40459126234054565
left_face_60 right_face_60,0.5480044484138489
left_face_61 right_face_61,0.5343024730682373
left_face_62 right_face_62,0.6736061573028564
left_face_63 right_face_63,0.6342771053314209
left_face_64 right_face_64,0.7761469483375549
left_face_65 right_face_65,0.6782691478729248
left_face_66 right_face_66,0.37012532353401184
left_face_67 right_face_67,0.38776490092277527
left_face_68 right_face_68,0.14638331532478333
left_face_69 right_face_69,0.22023341059684753
left_face_70 right_face_70,0.58710116147995
left_face_71 right_face_71,0.7910142540931702
left_face_72 right_face_72,0.4236477017402649
left_face_73 right_face_73,0.723625123500824
left_face_74 right_face_74,0.5721699595451355
left_face_75 right_face_75,0.6557704210281372
left_face_76 right_face_76,0.5837043523788452
left_face_77 right_face_77,0.6193745136260986
left_face_78 right_face_78,0.5619548559188843
left_face_79 right_face_79,0.5428577661514282
left_face_80 right_face_80,0.5540205240249634
left_face_81 right_face_81,0.5322772264480591
left_face_82 right_face_82,0.7267091274261475
left_face_83 right_face_83,0.7304782867431641
left_face_84 right_face_84,0.5442268252372742
left_face_85 right_face_85,0.6505944728851318
left_face_86 right_face_86,0.6007477641105652
left_face_87 right_face_87,0.5078147649765015
left_face_88 right_face_88,0.5208109021186829
left_face_89 right_face_89,0.42679959535598755
left_face_90 right_face_90,0.5289673209190369
left_face_91 right_face_91,0.5230231881141663
left_face_92 right_face_92,0.3458465337753296
left_face_93 right_face_93,0.46231919527053833
left_face_94 right_face_94,0.2680985629558563
left_face_95 right_face_95,0.6250090599060059
left_face_96 right_face_96,0.604957640171051
left_face_97 right_face_97,0.6393343210220337
left_face_98 right_face_98,0.27709653973579407
left_face_99 right_face_99,0.6990678906440735
left_face_100 right_face_100,0.5180101990699768
left_face_101 right_face_101,0.48944684863090515
left_face_102 right_face_102,0.358164519071579
left_face_103 right_face_103,0.5130824446678162
left_face_104 right_face_104,0.5081490278244019
left_face_105 right_face_105,0.434239000082016
left_face_106 right_face_106,0.3500327467918396
left_face_107 right_face_107,0.5554635524749756
left_face_108 right_face_108,0.3929428160190582
left_face_109 right_face_109,0.5562057495117188
left_face_110 right_face_110,0.5719496011734009
