face_images,answer
left_face_0 right_face_0,0.5588180106878281
left_face_1 right_face_1,0.8170363485813141
left_face_2 right_face_2,0.7403079134225846
left_face_3 right_face_3,0.5151575419306755
left_face_4 right_face_4,0.6953201568126679
left_face_5 right_face_5,0.6549469417333603
left_face_6 right_face_6,0.6003177630901336
left_face_7 right_face_7,0.47284991055727005
left_face_8 right_face_8,0.03874890221282839
left_face_9 right_face_9,0.7513991713523865
left_face_10 right_face_10,0.5515825229883193
left_face_11 right_face_11,0.49122128427028655
left_face_12 right_face_12,0.6094910618662834
left_face_13 right_face_13,0.5779745972156525
left_face_14 right_face_14,0.5933252626657487
left_face_15 right_face_15,0.44606649249792096
left_face_16 right_face_16,0.7212529528141022
left_face_17 right_face_17,0.5191127094626427
left_face_18 right_face_18,0.5996117353439332
left_face_19 right_face_19,0.5190231639146805
left_face_20 right_face_20,0.5356810075044632
left_face_21 right_face_21,0.6058651691675186
left_face_22 right_face_22,0.6722148591279984
left_face_23 right_face_23,0.3762861821055412
left_face_24 right_face_24,0.345307597219944
left_face_25 right_face_25,0.5254755240678788
left_face_26 right_face_26,0.5879680848121643
left_face_27 right_face_27,0.5323951989412308
left_face_28 right_face_28,0.5552124869823456
left_face_29 right_face_29,0.5332255026698113
left_face_30 right_face_30,0.45308465987443924
left_face_31 right_face_31,0.5488040339946747
left_face_32 right_face_32,0.4842571502923966
left_face_33 right_face_33,0.590338973402977
left_face_34 right_face_34,0.5033853349089623
left_face_35 right_face_35,0.5810804432630539
left_face_36 right_face_36,0.5938113558292389
left_face_37 right_face_37,0.4659629225730896
left_face_38 right_face_38,0.5775153815746308
left_face_39 right_face_39,0.0955489294975996
left_face_40 right_face_40,0.5798321390151978
left_face_41 right_face_41,0.44350878655910486
left_face_42 right_face_42,0.6456263673305511
left_face_43 right_face_43,0.6295580083131791
left_face_44 right_face_44,0.32408321619033814
left_face_45 right_face_45,0.6359462732076645
left_face_46 right_face_46,0.4401091316342354
left_face_47 right_face_47,0.4092062520980835
left_face_48 right_face_48,0.6068442177772522
left_face_49 right_face_49,0.5735476934909821
left_face_50 right_face_50,0.13142379403114313
left_face_51 right_face_51,0.5323052510619164
left_face_52 right_face_52,0.39941727668046945
left_face_53 right_face_53,0.4126652801036834
